time,temperature_2m (°C),rain (mm),windspeed_10m (km/h),winddirection_10m (°)
2023-07-01T00:00,15.5,0.00,4.3,204
2023-07-01T01:00,14.9,0.00,5.4,188
2023-07-01T02:00,15.0,0.00,6.8,180
2023-07-01T03:00,15.3,0.00,8.6,180
2023-07-01T04:00,15.5,0.00,10.4,180
2023-07-01T05:00,15.6,0.00,12.3,175
2023-07-01T06:00,15.5,0.00,13.3,183
2023-07-01T07:00,15.5,0.00,12.6,193
2023-07-01T08:00,15.6,0.20,13.5,196
2023-07-01T09:00,15.5,0.10,12.8,202
2023-07-01T10:00,15.2,0.60,10.8,180
2023-07-01T11:00,15.5,0.40,11.7,189
2023-07-01T12:00,15.7,0.10,12.0,196
2023-07-01T13:00,16.0,0.50,11.8,203
2023-07-01T14:00,16.2,0.40,14.5,199
2023-07-01T15:00,16.5,0.10,14.3,214
2023-07-01T16:00,17.1,0.00,15.6,220
2023-07-01T17:00,17.3,0.00,14.1,212
2023-07-01T18:00,17.1,0.00,14.5,210
2023-07-01T19:00,17.3,0.10,14.1,220
2023-07-01T20:00,17.2,0.00,11.5,226
2023-07-01T21:00,17.1,2.30,11.2,230
2023-07-01T22:00,17.0,0.00,11.9,245
2023-07-01T23:00,16.3,0.00,14.3,252
2023-07-02T00:00,15.9,0.00,14.8,247
2023-07-02T01:00,15.6,0.00,15.5,245
2023-07-02T02:00,14.8,0.00,12.9,240
2023-07-02T03:00,14.7,0.10,15.6,232
2023-07-02T04:00,14.6,0.00,17.9,236
2023-07-02T05:00,14.6,0.00,14.3,231
2023-07-02T06:00,14.6,0.00,17.8,238
2023-07-02T07:00,14.9,0.00,17.9,236
2023-07-02T08:00,15.8,0.00,18.4,242
2023-07-02T09:00,16.7,0.00,21.3,246
2023-07-02T10:00,16.8,0.00,25.5,257
2023-07-02T11:00,18.0,0.10,24.3,255
2023-07-02T12:00,19.1,0.00,24.6,259
2023-07-02T13:00,19.2,0.00,24.3,249
2023-07-02T14:00,19.4,0.00,24.6,264
2023-07-02T15:00,19.2,0.00,26.7,266
2023-07-02T16:00,19.5,0.00,26.6,261
2023-07-02T17:00,20.0,0.00,27.4,270
2023-07-02T18:00,18.8,0.00,26.6,272
2023-07-02T19:00,18.1,0.00,24.5,274
2023-07-02T20:00,17.3,0.00,19.8,269
2023-07-02T21:00,16.5,0.00,16.4,255
2023-07-02T22:00,15.5,0.00,12.2,251
2023-07-02T23:00,15.1,0.00,11.5,238
2023-07-03T00:00,14.8,0.00,12.5,226
2023-07-03T01:00,14.0,0.00,15.1,230
2023-07-03T02:00,13.6,0.00,13.8,231
2023-07-03T03:00,13.0,0.00,11.9,215
2023-07-03T04:00,12.5,0.00,12.0,219
2023-07-03T05:00,12.5,0.00,11.5,212
2023-07-03T06:00,12.9,0.00,12.3,218
2023-07-03T07:00,13.6,0.00,12.3,218
2023-07-03T08:00,15.4,0.00,15.9,232
2023-07-03T09:00,16.4,0.00,21.1,250
2023-07-03T10:00,16.8,0.00,21.1,253
2023-07-03T11:00,17.4,0.00,18.9,252
2023-07-03T12:00,18.9,0.00,19.8,245
2023-07-03T13:00,17.0,2.60,14.3,245
2023-07-03T14:00,16.6,0.40,19.1,238
2023-07-03T15:00,16.3,0.10,19.8,258
2023-07-03T16:00,15.5,0.80,15.6,247
2023-07-03T17:00,16.2,0.00,17.8,256
2023-07-03T18:00,16.1,0.00,14.4,257
2023-07-03T19:00,15.8,0.10,12.6,243
2023-07-03T20:00,15.4,0.00,10.9,207
2023-07-03T21:00,14.9,0.00,10.5,229
2023-07-03T22:00,14.1,0.00,10.2,212
2023-07-03T23:00,13.2,0.00,10.9,197
2023-07-04T00:00,12.8,0.00,11.6,187
2023-07-04T01:00,13.0,0.00,12.5,192
2023-07-04T02:00,12.9,1.70,16.9,214
2023-07-04T03:00,12.9,0.50,16.8,225
2023-07-04T04:00,12.8,0.00,18.2,236
2023-07-04T05:00,12.2,0.00,17.1,240
2023-07-04T06:00,12.0,0.00,15.3,231
2023-07-04T07:00,12.6,0.00,15.6,230
2023-07-04T08:00,13.8,0.00,15.5,222
2023-07-04T09:00,15.3,0.00,17.4,230
2023-07-04T10:00,16.5,0.00,20.2,231
2023-07-04T11:00,17.4,0.00,19.1,234
2023-07-04T12:00,17.5,0.00,20.5,232
2023-07-04T13:00,16.2,0.50,18.4,228
2023-07-04T14:00,14.7,2.10,19.8,269
2023-07-04T15:00,16.7,0.00,15.9,276
