time,temperature_2m (°C),rain (mm),windspeed_10m (km/h),winddirection_10m (°)
07/01/2023 00:00:00,15.5,0.00,4.3,204
07/01/2023 01:00:00,14.9,0.00,5.4,188
07/01/2023 02:00:00,15.0,0.00,6.8,180
07/01/2023 03:00:00,15.3,0.00,8.6,180
07/01/2023 04:00:00,15.5,0.00,10.4,180
07/01/2023 05:00:00,15.6,0.00,12.3,175
07/01/2023 06:00:00,15.5,0.00,13.3,183
07/01/2023 07:00:00,15.5,0.00,12.6,193
07/01/2023 08:00:00,15.6,0.20,13.5,196
07/01/2023 09:00:00,15.5,0.10,12.8,202
07/01/2023 10:00:00,15.2,0.60,10.8,180
07/01/2023 11:00:00,15.5,0.40,11.7,189
07/01/2023 12:00:00,15.7,0.10,12.0,196
07/01/2023 13:00:00,16.0,0.50,11.8,203
07/01/2023 14:00:00,16.2,0.40,14.5,199
07/01/2023 15:00:00,16.5,0.10,14.3,214
07/01/2023 16:00:00,17.1,0.00,15.6,220
07/01/2023 17:00:00,17.3,0.00,14.1,212
07/01/2023 18:00:00,17.1,0.00,14.5,210
07/01/2023 19:00:00,17.3,0.10,14.1,220
07/01/2023 20:00:00,17.2,0.00,11.5,226
07/01/2023 21:00:00,17.1,2.30,11.2,230
07/01/2023 22:00:00,17.0,0.00,11.9,245
07/01/2023 23:00:00,16.3,0.00,14.3,252
07/02/2023 00:00:00,15.9,0.00,14.8,247
07/02/2023 01:00:00,15.6,0.00,15.5,245
07/02/2023 02:00:00,14.8,0.00,12.9,240
07/02/2023 03:00:00,14.7,0.10,15.6,232
07/02/2023 04:00:00,14.6,0.00,17.9,236
07/02/2023 05:00:00,14.6,0.00,14.3,231
07/02/2023 06:00:00,14.6,0.00,17.8,238
07/02/2023 07:00:00,14.9,0.00,17.9,236
07/02/2023 08:00:00,15.8,0.00,18.4,242
07/02/2023 09:00:00,16.7,0.00,21.3,246
07/02/2023 10:00:00,16.8,0.00,25.5,257
07/02/2023 11:00:00,18.0,0.10,24.3,255
07/02/2023 12:00:00,19.1,0.00,24.6,259
07/02/2023 13:00:00,19.2,0.00,24.3,249
07/02/2023 14:00:00,19.4,0.00,24.6,264
07/02/2023 15:00:00,19.2,0.00,26.7,266
07/02/2023 16:00:00,19.5,0.00,26.6,261
07/02/2023 17:00:00,20.0,0.00,27.4,270
07/02/2023 18:00:00,18.8,0.00,26.6,272
07/02/2023 19:00:00,18.1,0.00,24.5,274
07/02/2023 20:00:00,17.3,0.00,19.8,269
07/02/2023 21:00:00,16.5,0.00,16.4,255
07/02/2023 22:00:00,15.5,0.00,12.2,251
07/02/2023 23:00:00,15.1,0.00,11.5,238
07/03/2023 00:00:00,14.8,0.00,12.5,226
07/03/2023 01:00:00,14.0,0.00,15.1,230
07/03/2023 02:00:00,13.6,0.00,13.8,231
07/03/2023 03:00:00,13.0,0.00,11.9,215
07/03/2023 04:00:00,12.5,0.00,12.0,219
07/03/2023 05:00:00,12.5,0.00,11.5,212
07/03/2023 06:00:00,12.9,0.00,12.3,218
07/03/2023 07:00:00,13.6,0.00,12.3,218
07/03/2023 08:00:00,15.4,0.00,15.9,232
07/03/2023 09:00:00,16.4,0.00,21.1,250
07/03/2023 10:00:00,16.8,0.00,21.1,253
07/03/2023 11:00:00,17.4,0.00,18.9,252
07/03/2023 12:00:00,18.9,0.00,19.8,245
07/03/2023 13:00:00,17.0,2.60,14.3,245
07/03/2023 14:00:00,16.6,0.40,19.1,238
07/03/2023 15:00:00,16.3,0.10,19.8,258
07/03/2023 16:00:00,15.5,0.80,15.6,247
07/03/2023 17:00:00,16.2,0.00,17.8,256
07/03/2023 18:00:00,16.1,0.00,14.4,257
07/03/2023 19:00:00,15.8,0.10,12.6,243
07/03/2023 20:00:00,15.4,0.00,10.9,207
07/03/2023 21:00:00,14.9,0.00,10.5,229
07/03/2023 22:00:00,14.1,0.00,10.2,212
07/03/2023 23:00:00,13.2,0.00,10.9,197
07/04/2023 00:00:00,12.8,0.00,11.6,187
07/04/2023 01:00:00,13.0,0.00,12.5,192
07/04/2023 02:00:00,12.9,1.70,16.9,214
07/04/2023 03:00:00,12.9,0.50,16.8,225
07/04/2023 04:00:00,12.8,0.00,18.2,236
07/04/2023 05:00:00,12.2,0.00,17.1,240
07/04/2023 06:00:00,12.0,0.00,15.3,231
07/04/2023 07:00:00,12.6,0.00,15.6,230
07/04/2023 08:00:00,13.8,0.00,15.5,222
07/04/2023 09:00:00,15.3,0.00,17.4,230
07/04/2023 10:00:00,16.5,0.00,20.2,231
07/04/2023 11:00:00,17.4,0.00,19.1,234
07/04/2023 12:00:00,17.5,0.00,20.5,232
07/04/2023 13:00:00,16.2,0.50,18.4,228
07/04/2023 14:00:00,14.7,2.10,19.8,269
07/04/2023 15:00:00,16.7,0.00,15.9,276
07/04/2023 16:00:00,14.4,1.30,14.5,251
07/04/2023 17:00:00,15.9,0.20,16.6,219
